2025-09-19 07:23:27.2581 I Starting birddog_connect, Version: 1.0.3 (21.03.2025 15:42:14)
2025-09-19 07:23:27.8675 D Found 0 NVIDIA GPUs.
2025-09-19 07:23:28.6307 I socketcluster connected (wss://connect.birddog.tv/socketcluster/)
2025-09-19 07:23:28.8885 D Received event identify: {"hasPublicIpOverride":false}
2025-09-19 07:23:29.9633 D Emitted message: gpuDevices
2025-09-19 07:23:30.0140 D Received event login: {"recordingDirectory":"C:\\Users\\NicCabunilas\\Documents\\Birddog","bridgeServicePort":8090}
2025-09-19 07:23:30.0248 I recording watcher thread stopped
2025-09-19 07:23:30.0877 I recording watcher thread started
2025-09-19 07:23:30.1170 D Emitted message: recordingDirStatus
2025-09-19 07:23:30.1298 D Emitted message: bridgeServiceStatus
2025-09-19 07:23:30.1356 I Subscribed to channel /ep/x8qtuT3r successfully
2025-09-19 07:23:30.9499 D Emitted message: systemStats
2025-09-19 07:23:32.0165 D Emitted message: systemStats
2025-09-19 07:23:33.0180 D Emitted message: systemStats
2025-09-19 07:23:34.0194 D Emitted message: systemStats
2025-09-19 07:23:35.0214 D Emitted message: systemStats
2025-09-19 07:23:36.0228 D Emitted message: systemStats
2025-09-19 07:23:36.0362 D Emitted message: ndiSources
2025-09-19 07:23:36.2502 D Emitted message: routeTargets
2025-09-19 07:23:37.0243 D Emitted message: systemStats
2025-09-19 07:23:38.0258 D Emitted message: systemStats
2025-09-19 07:23:39.0273 D Emitted message: systemStats
2025-09-19 07:23:40.0347 D Emitted message: systemStats
2025-09-19 07:23:41.0360 D Emitted message: systemStats
2025-09-19 07:23:42.0379 D Emitted message: systemStats
2025-09-19 07:23:43.0396 D Emitted message: systemStats
2025-09-19 07:23:44.0418 D Emitted message: systemStats
2025-09-19 07:23:45.0432 D Emitted message: systemStats
2025-09-19 07:23:46.0447 D Emitted message: systemStats
2025-09-19 07:23:47.0461 D Emitted message: systemStats
2025-09-19 07:23:48.0475 D Emitted message: systemStats
2025-09-19 07:23:49.0491 D Emitted message: systemStats
2025-09-19 07:23:50.0507 D Emitted message: systemStats
2025-09-19 07:23:51.0527 D Emitted message: systemStats
2025-09-19 07:23:52.0544 D Emitted message: systemStats
2025-09-19 07:23:53.0674 D Emitted message: systemStats
2025-09-19 07:23:54.0691 D Emitted message: systemStats
2025-09-19 07:23:55.0708 D Emitted message: systemStats
2025-09-19 07:23:56.0725 D Emitted message: systemStats
2025-09-19 07:23:57.0741 D Emitted message: systemStats
2025-09-19 07:23:58.0757 D Emitted message: systemStats
2025-09-19 07:23:59.0771 D Emitted message: systemStats
2025-09-19 07:24:00.0789 D Emitted message: systemStats
2025-09-19 07:24:01.0804 D Emitted message: systemStats
2025-09-19 07:24:02.0821 D Emitted message: systemStats
2025-09-19 07:24:03.0836 D Emitted message: systemStats
2025-09-19 07:24:04.0850 D Emitted message: systemStats
2025-09-19 07:24:05.0865 D Emitted message: systemStats
2025-09-19 07:24:06.0881 D Emitted message: systemStats
2025-09-19 07:24:06.0891 D Emitted message: routeTargets
2025-09-19 07:24:07.0899 D Emitted message: systemStats
2025-09-19 07:24:08.0915 D Emitted message: systemStats
2025-09-19 07:24:09.0929 D Emitted message: systemStats
2025-09-19 07:24:10.0945 D Emitted message: systemStats
2025-09-19 07:24:11.0959 D Emitted message: systemStats
2025-09-19 07:24:12.0980 D Emitted message: systemStats
2025-09-19 07:24:13.0996 D Emitted message: systemStats
2025-09-19 07:24:14.1018 D Emitted message: systemStats
2025-09-19 07:24:15.1035 D Emitted message: systemStats
2025-09-19 07:24:16.1054 D Emitted message: systemStats
2025-09-19 07:24:17.1075 D Emitted message: systemStats
2025-09-19 07:24:18.1090 D Emitted message: systemStats
2025-09-19 07:24:19.1112 D Emitted message: systemStats
2025-09-19 07:24:20.1128 D Emitted message: systemStats
2025-09-19 07:24:21.1150 D Emitted message: systemStats
2025-09-19 07:24:22.1167 D Emitted message: systemStats
2025-09-19 07:24:23.1189 D Emitted message: systemStats
2025-09-19 07:24:24.1205 D Emitted message: systemStats
2025-09-19 07:24:25.1226 D Emitted message: systemStats
2025-09-19 07:24:26.1242 D Emitted message: systemStats
2025-09-19 07:24:27.1264 D Emitted message: systemStats
2025-09-19 07:24:28.1278 D Emitted message: systemStats
2025-09-19 07:24:29.1294 D Emitted message: systemStats
2025-09-19 07:24:30.1309 D Emitted message: systemStats
2025-09-19 07:24:31.1031 D Emitted message: ndiSources
2025-09-19 07:24:31.1326 D Emitted message: systemStats
2025-09-19 07:24:32.1346 D Emitted message: systemStats
2025-09-19 07:24:33.1360 D Emitted message: systemStats
2025-09-19 07:24:34.1391 D Emitted message: systemStats
2025-09-19 07:24:35.1405 D Emitted message: systemStats
2025-09-19 07:24:36.1409 D Emitted message: routeTargets
2025-09-19 07:24:36.1433 D Emitted message: systemStats
2025-09-19 07:24:37.1447 D Emitted message: systemStats
2025-09-19 07:24:38.1461 D Emitted message: systemStats
2025-09-19 07:24:39.1476 D Emitted message: systemStats
2025-09-19 07:24:40.1490 D Emitted message: systemStats
2025-09-19 07:24:41.1504 D Emitted message: systemStats
2025-09-19 07:24:42.1527 D Emitted message: systemStats
2025-09-19 07:24:43.1548 D Emitted message: systemStats
2025-09-19 07:24:44.1562 D Emitted message: systemStats
2025-09-19 07:24:45.1576 D Emitted message: systemStats
2025-09-19 07:24:46.1590 D Emitted message: systemStats
2025-09-19 07:24:47.1605 D Emitted message: systemStats
2025-09-19 07:24:48.1620 D Emitted message: systemStats
2025-09-19 07:24:49.1637 D Emitted message: systemStats
2025-09-19 07:24:50.1651 D Emitted message: systemStats
2025-09-19 07:24:51.1668 D Emitted message: systemStats
2025-09-19 07:24:52.1682 D Emitted message: systemStats
2025-09-19 07:24:53.1696 D Emitted message: systemStats
2025-09-19 07:24:54.1710 D Emitted message: systemStats
2025-09-19 07:24:55.1725 D Emitted message: systemStats
2025-09-19 07:24:56.1741 D Emitted message: systemStats
2025-09-19 07:24:57.1758 D Emitted message: systemStats
2025-09-19 07:24:58.1772 D Emitted message: systemStats
2025-09-19 07:24:59.1786 D Emitted message: systemStats
2025-09-19 07:25:00.1800 D Emitted message: systemStats
2025-09-19 07:25:01.1510 D Emitted message: ndiSources
2025-09-19 07:25:01.1824 D Emitted message: systemStats
2025-09-19 07:25:02.1847 D Emitted message: systemStats
2025-09-19 07:25:03.1861 D Emitted message: systemStats
2025-09-19 07:25:04.1875 D Emitted message: systemStats
2025-09-19 07:25:05.1889 D Emitted message: systemStats
2025-09-19 07:25:06.1904 D Emitted message: systemStats
2025-09-19 07:25:06.1932 D Emitted message: routeTargets
2025-09-19 07:25:07.1919 D Emitted message: systemStats
2025-09-19 07:25:08.1934 D Emitted message: systemStats
2025-09-19 07:25:09.1948 D Emitted message: systemStats
2025-09-19 07:25:10.1962 D Emitted message: systemStats
2025-09-19 07:25:11.1977 D Emitted message: systemStats
2025-09-19 07:25:12.1990 D Emitted message: systemStats
2025-09-19 07:25:13.2006 D Emitted message: systemStats
2025-09-19 07:25:14.2027 D Emitted message: systemStats
2025-09-19 07:25:15.2042 D Emitted message: systemStats
2025-09-19 07:25:16.2060 D Emitted message: systemStats
2025-09-19 07:25:17.2075 D Emitted message: systemStats
2025-09-19 07:25:18.2090 D Emitted message: systemStats
2025-09-19 07:25:19.2104 D Emitted message: systemStats
2025-09-19 07:25:20.2122 D Emitted message: systemStats
2025-09-19 07:25:21.2139 D Emitted message: systemStats
2025-09-19 07:25:22.2156 D Emitted message: systemStats
2025-09-19 07:25:23.2171 D Emitted message: systemStats
2025-09-19 07:25:24.2189 D Emitted message: systemStats
2025-09-19 07:25:25.2204 D Emitted message: systemStats
2025-09-19 07:25:26.2219 D Emitted message: systemStats
2025-09-19 07:25:27.2234 D Emitted message: systemStats
2025-09-19 07:25:28.2247 D Emitted message: systemStats
2025-09-19 07:25:29.2261 D Emitted message: systemStats
2025-09-19 07:25:30.2275 D Emitted message: systemStats
2025-09-19 07:25:31.2018 D Emitted message: ndiSources
2025-09-19 07:25:31.2289 D Emitted message: systemStats
2025-09-19 07:25:32.2306 D Emitted message: systemStats
2025-09-19 07:25:33.2320 D Emitted message: systemStats
2025-09-19 07:25:34.2337 D Emitted message: systemStats
2025-09-19 07:25:35.2358 D Emitted message: systemStats
2025-09-19 07:25:36.2368 D Emitted message: routeTargets
2025-09-19 07:25:36.2368 D Emitted message: systemStats
2025-09-19 07:25:37.2390 D Emitted message: systemStats
2025-09-19 07:25:38.2405 D Emitted message: systemStats
2025-09-19 07:25:39.2418 D Emitted message: systemStats
2025-09-19 07:25:40.2432 D Emitted message: systemStats
